,City,Cloudiness,Country Code,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
0,Alice Springs,0,AU,1520910000,25,-23.7,133.88,84.2,14.99
1,Bergen,75,DE,1520911200,93,52.81,9.96,48.2,8.05
2,Mar del Plata,8,AR,1520913116,58,-46.43,-67.52,54.99,15.01
3,Castro,92,CL,1520913191,79,-42.48,-73.76,52.29,5.95
4,Nome,1,US,1520910900,58,30.04,-94.42,53.6,5.95
5,Punta Arenas,40,CL,1520910000,70,-53.16,-70.91,42.8,18.34
6,East London,0,ZA,1520910000,82,-33.02,27.91,68.0,11.41
7,Xixiang,0,CN,1520910000,73,22.58,113.87,73.4,6.71
8,Hluboka nad Vltavou,8,CZ,1520913193,92,49.05,14.43,40.14,10.42
9,Port Alfred,0,ZA,1520913193,84,-33.59,26.89,71.46,20.94
10,Hobart,75,AU,1520910000,46,-42.88,147.33,69.8,8.05
11,Benjamin Aceval,76,PY,1520910000,83,-24.97,-57.57,78.8,4.7
12,Gilgit,92,PK,1520913194,95,35.92,74.31,25.11,1.14
13,Nuuk,76,GL,1520909400,100,64.17,-51.74,14.0,6.93
14,Acajutla,8,SV,1520913194,100,13.59,-89.83,73.26,2.37
15,Vaini,20,TO,1520910000,66,-21.2,-175.2,89.6,2.24
16,Jalu,0,LY,1520913195,46,29.03,21.55,57.33,4.16
17,Severo-Kurilsk,44,RU,1520913195,100,50.68,156.12,25.47,6.73
18,Umm Kaddadah,0,SD,1520913196,16,13.6,26.69,63.27,12.66
19,Tabas,68,IR,1520913196,58,33.6,56.92,48.69,5.17
20,Qandala,0,SO,1520913197,97,11.47,49.87,65.88,5.95
21,Arraial do Cabo,0,BR,1520913197,99,-22.97,-42.02,76.41,9.75
22,Beringovskiy,88,RU,1520913197,91,63.05,179.32,21.15,18.81
23,Oistins,20,BB,1520910000,83,13.07,-59.53,77.0,20.8
24,Nynashamn,92,SE,1520911200,100,58.9,17.95,33.8,5.82
25,Opuwo,20,NA,1520913198,65,-18.06,13.84,57.6,3.38
26,Kavaratti,0,IN,1520913199,100,10.57,72.64,83.52,5.84
27,Kodiak,1,US,1520909580,55,39.95,-94.76,33.8,9.17
28,Kindu,44,CD,1520913014,97,-2.95,25.92,71.46,2.15
29,Rikitea,68,PF,1520913200,100,-23.12,-134.97,80.01,13.44
30,Bredasdorp,0,ZA,1520910000,93,-34.53,20.04,57.2,4.7
31,Yellowknife,40,CA,1520910000,64,62.45,-114.38,32.0,8.05
32,Egvekinot,8,RU,1520913201,67,66.32,-179.17,-10.36,3.27
33,Borger,1,US,1520910900,39,35.67,-101.4,50.0,11.41
34,Ribeira Grande,36,PT,1520913202,95,38.52,-28.7,63.09,31.79
35,Raudeberg,8,NO,1520911200,55,61.99,5.14,35.6,11.41
36,Kudahuvadhoo,32,MV,1520913203,100,2.67,72.89,81.9,5.17
37,Barrow,1,US,1520912100,55,39.51,-90.4,37.4,10.29
38,Hambantota,80,LK,1520913203,100,6.12,81.12,78.3,14.45
39,Ushuaia,75,AR,1520910000,70,-54.81,-68.31,44.6,8.05
40,Dikson,44,RU,1520913204,100,73.51,80.55,-9.64,18.7
41,Baghdad,0,IQ,1520910000,66,33.3,44.38,53.6,2.24
42,Atuona,64,PF,1520913205,100,-9.8,-139.03,80.37,16.46
43,Georgetown,40,GY,1520910000,88,6.8,-58.16,75.2,6.93
44,Axim,56,GH,1520913205,100,4.87,-2.24,81.27,9.19
45,Hollins,90,US,1520910900,64,37.35,-79.95,37.4,17.22
46,Yulara,0,AU,1520910000,13,-25.24,130.99,93.2,14.99
47,Chokurdakh,56,RU,1520913206,67,70.62,147.9,-22.51,6.73
48,Bluff,80,NZ,1520913207,100,-46.6,168.33,54.99,27.54
49,Busselton,32,AU,1520913207,69,-33.64,115.35,81.27,12.44
50,San Cristobal,80,EC,1520913207,100,-1.02,-79.44,63.27,2.04
51,Lebu,0,CL,1520913208,100,-37.62,-73.65,58.05,10.76
52,Carnarvon,0,AU,1520913208,68,-24.87,113.63,87.93,2.04
53,Blythe,1,US,1520909520,36,33.61,-114.59,75.2,0.92
54,Zdvinsk,24,RU,1520913209,78,54.7,78.67,-3.52,4.72
55,Hermanus,0,ZA,1520913209,88,-34.42,19.24,55.8,2.93
56,Saint-Philippe,0,RE,1520911800,69,-21.36,55.77,80.6,5.82
57,Sarkand,92,KZ,1520913210,100,45.41,79.91,39.69,4.38
58,Norman Wells,20,CA,1520910000,62,65.28,-126.83,23.0,3.36
59,Cape Town,0,ZA,1520910000,88,-33.93,18.42,62.6,5.82
60,Eyl,92,SO,1520913211,99,7.98,49.82,76.23,6.85
61,Arica,32,CL,1520910000,64,-18.48,-70.32,69.8,2.24
62,Avarua,40,CK,1520910000,61,-21.21,-159.78,82.4,8.05
63,Jamestown,88,SH,1520913212,100,-15.94,-5.72,74.52,12.77
64,Weirton,90,US,1520912820,86,40.42,-80.59,28.4,5.82
65,Albany,44,AU,1520913212,50,-35.02,117.88,80.28,10.31
66,Morehead,92,PG,1520913213,100,-8.71,141.64,76.41,7.74
67,Neiafu,40,TO,1520910000,66,-18.65,-173.98,86.0,10.29
68,Poya,56,NC,1520913214,92,-21.35,165.16,78.48,19.04
69,Tacarigua,0,VE,1520913214,81,10.57,-64.17,80.37,19.15
70,Hofn,92,IS,1520913214,100,64.25,-15.21,36.09,25.97
71,Intipuca,8,SV,1520913215,100,13.2,-88.05,78.84,6.62
72,Katsuura,0,JP,1520910000,41,33.93,134.5,59.0,4.7
73,Kapaa,90,US,1520909760,68,22.08,-159.32,71.6,17.22
74,Dezful,0,IR,1520913216,78,32.38,48.4,43.2,2.71
75,Dali,0,CN,1520913216,74,25.6,100.24,55.26,1.81
76,Ola,68,RU,1520910000,49,59.58,151.3,3.2,2.24
77,Poum,92,NC,1520913217,100,-20.23,164.02,79.65,29.66
78,Bambous Virieux,40,MU,1520910000,74,-20.34,57.76,80.6,16.11
79,Solnechnyy,36,RU,1520913217,70,50.72,136.64,29.34,2.48
80,Atambua,44,ID,1520913218,87,-9.11,124.89,85.32,5.73
81,Iqaluit,90,CA,1520910000,77,63.75,-68.52,6.8,4.7
82,Port Hardy,75,CA,1520910000,47,50.7,-127.42,55.4,9.17
83,Nikolskoye,75,RU,1520910000,93,59.7,30.79,35.6,4.47
84,Georgetown,0,SH,1520913220,100,-7.93,-14.42,78.03,11.21
85,Komsomolskiy,76,RU,1520913220,78,67.55,63.78,10.62,5.95
86,Cherskiy,32,RU,1520913221,72,68.75,161.3,-16.3,5.28
87,Margate,0,ZA,1520913222,97,-30.86,30.37,68.4,7.18
88,Bontang,20,ID,1520913222,84,0.12,117.47,86.22,7.74
89,Moron,56,MN,1520913223,75,47.38,110.32,30.96,4.27
90,Cidreira,0,BR,1520913223,95,-30.17,-50.22,59.67,2.37
91,Grand Gaube,40,MU,1520910000,74,-20.01,57.66,80.6,16.11
92,Upernavik,36,GL,1520913224,96,72.79,-56.15,-2.17,1.14
93,Aswan,0,EG,1520913024,76,24.09,32.9,54.0,5.06
94,Domoni,68,KM,1520913224,100,-12.26,44.53,81.99,9.19
95,Lipari,20,IT,1520909700,71,38.47,14.95,57.2,6.93
96,Thompson,40,CA,1520910000,49,55.74,-97.86,24.8,4.7
97,South Shields,75,GB,1520909400,93,55.0,-1.43,37.4,2.24
98,Lavrentiya,56,RU,1520913226,100,65.58,-170.99,1.62,16.8
99,Tuatapere,80,NZ,1520913226,100,-46.13,167.69,52.11,21.72
100,Esperance,0,AU,1520913227,79,-33.86,121.89,74.25,8.19
101,Torbay,90,CA,1520910000,100,47.66,-52.73,30.2,17.22
102,Bowen,8,AU,1520910000,61,-20.01,148.25,82.4,16.11
103,Oussouye,0,SN,1520910000,94,12.49,-16.54,71.6,4.7
104,Kantang,20,TH,1520910000,62,7.42,99.52,87.8,3.36
105,Mildura,0,AU,1520913228,51,-34.18,142.16,74.16,9.75
106,Saskylakh,64,RU,1520913229,82,71.97,114.09,-26.56,6.62
107,Hasaki,20,JP,1520910000,51,35.73,140.83,62.6,8.05
108,Shobara,20,JP,1520910000,48,34.92,133.05,68.0,9.17
109,Novyy Urengoy,68,RU,1520913230,78,66.08,76.63,4.59,11.54
110,Clacton-on-Sea,90,GB,1520911200,93,51.79,1.16,41.0,9.17
111,New Norfolk,75,AU,1520910000,46,-42.78,147.06,69.8,8.05
112,Terney,44,RU,1520913231,85,45.05,136.61,39.06,7.63
113,Photharam,68,TH,1520913231,90,13.69,99.85,76.59,4.72
114,Cabo San Lucas,20,MX,1520909220,60,22.89,-109.91,75.2,4.7
115,Baculin,0,PH,1520913232,78,7.45,126.58,83.79,9.42
116,Menongue,8,AO,1520913232,86,-14.66,17.68,66.33,4.38
117,Hilo,90,US,1520909580,83,19.71,-155.08,69.8,8.05
118,Khatanga,0,RU,1520913233,57,71.98,102.47,-32.5,4.72
119,Sorland,88,NO,1520913229,100,67.67,12.69,36.09,9.64
120,Banna,20,PH,1520910000,51,17.98,120.66,84.2,9.17
121,Horta,40,PT,1520910000,100,40.42,-8.49,55.4,9.17
122,Rabo de Peixe,40,PT,1520911800,87,37.8,-25.58,60.8,21.92
123,Madimba,24,TZ,1520913236,100,-10.4,40.33,75.51,5.17
124,Puerto Ayora,92,EC,1520913237,100,-0.74,-90.35,77.22,3.15
125,Ilulissat,88,GL,1520909400,77,69.22,-51.1,6.8,1.12
126,Boyolangu,92,ID,1520913238,82,-8.09,111.9,77.49,4.05
127,Mahebourg,40,MU,1520910000,74,-20.41,57.7,80.6,16.11
128,Luderitz,48,NA,1520910000,93,-26.65,15.16,60.8,4.7
129,Kutum,0,SD,1520913239,18,14.2,24.66,60.12,11.32
130,Bethel,20,US,1520909580,78,60.79,-161.76,15.8,9.17
131,Calbuco,40,CL,1520910000,93,-41.77,-73.13,44.6,3.36
132,Tuktoyaktuk,75,CA,1520910000,84,69.44,-133.03,8.6,12.75
133,Salalah,20,OM,1520909400,68,17.01,54.1,69.8,2.24
134,Butaritari,80,KI,1520913242,100,3.07,172.79,82.89,12.33
135,Kiama,90,AU,1520910000,60,-34.67,150.86,68.0,8.05
